GRB	z	dhour	flux	fluxerr	filtold	filtnew
150120A	0.46	2.0	0.36	0.0	r*	r*
150423A	1.394	6.6	66.68	0.0	g*	g*
150423A	1.394	0.4	2.014	0.4073	g*	g*
150423A	1.394	0.9667	2.014	0.4073	g*	g*
150423A	1.394	16.0344	0.2911	0.0	g*	g*
150423A	1.394	10.6	18.37	0.0	g*	g*
150423A	1.394	0.9667	14.87	0.0	H	H
150423A	1.394	0.4	163.1	0.0	H	H
150423A	1.394	10.6	27.54	0.0	I	I
150423A	1.394	6.6	109.7	0.0	I	I
150423A	1.394	25.355	0.4591	0.0	i*	i*
150423A	1.394	0.9667	2.87	0.5805	i*	i*
150423A	1.394	0.4	3.784	0.7653	i*	i*
150423A	1.394	4.155	1.349	0.3649	i*	i*
150423A	1.394	0.9667	8.584	0.0	J	J
150423A	1.394	0.4	71.4	31.8	J	J
150423A	1.394	0.4	373.1	0.0	Ks	K
150423A	1.394	0.9667	148.5	0.0	Ks	K
150423A	1.394	0.5756	2.65	0.0	R	R
150423A	1.394	0.0322	504.9	0.0	R	R
150423A	1.394	0.4	2.189	0.4428	r*	r*
150423A	1.394	0.9667	2.189	0.4428	r*	r*
150423A	1.394	25.355	0.449	0.0	r*	r*
150423A	1.394	4.155	1.181	0.2786	r*	r*
150423A	1.394	10.6	14.99	0.0	Rc	R
150423A	1.394	6.6	59.69	0.0	Rc	R
150423A	1.394	1.5667	2.376	0.2293	Rc	R
150423A	1.394	0.1503	18.28	0.0	uvb	B
150423A	1.394	1.4022	3.378	0.0	uvm2	uvm2
150423A	1.394	0.0794	13.19	0.0	uvu	uvu
150423A	1.394	0.0794	7.592	0.0	uvu	uvu
150423A	1.394	0.1708	16.37	0.0	uvv	V
150423A	1.394	0.1847	3.967	0.0	uvw1	uvw1
150423A	1.394	0.1642	1.539	0.0	uvw2	uvw2
150423A	1.394	0.4	5.966	1.207	z*	z*
150423A	1.394	0.9667	3.433	0.6944	z*	z*
150423A	1.394	216.0	14.99	0.0	z*	z*
